
 mi.net.adj.matrix.wt = 

             v1        v2 v3         v4         v5 v6         v7         v8
v1   0.00000000 0.0000000  0 0.11026205 0.00000000  0 1.29740448 0.11026205
v2   0.00000000 0.0000000  0 0.00000000 0.00000000  0 0.00000000 0.00000000
v3   0.00000000 0.0000000  0 0.00000000 0.00000000  0 0.00000000 0.00000000
v4   0.11026205 0.0000000  0 0.00000000 0.11026205  0 5.58414968 0.00000000
v5   0.00000000 0.0000000  0 0.11026205 0.00000000  0 0.00000000 0.11026205
v6   0.00000000 0.0000000  0 0.00000000 0.00000000  0 0.00000000 0.00000000
v7   1.29740448 0.0000000  0 5.58414968 0.00000000  0 0.00000000 5.58414968
v8   0.11026205 0.0000000  0 0.00000000 0.11026205  0 5.58414968 0.00000000
v9   0.48192130 2.1946443  0 0.00000000 0.00000000  0 0.53208477 0.00000000
v10  0.00000000 0.0000000  0 0.00000000 0.00000000  0 0.00000000 0.00000000
v11  0.00000000 0.2326089  0 0.00000000 0.10341338  0 0.00000000 0.00000000
v12  0.34265460 0.3553306  0 1.09975280 0.00000000  0 0.00000000 1.09975280
v13  1.85308247 0.0000000  0 0.42585633 0.00000000  0 1.85449686 0.42585633
v14  1.92735629 0.9991048  0 1.96099910 0.00000000  0 6.29965812 1.96099910
v15  0.00000000 0.0000000  0 0.00000000 0.00000000  0 0.00000000 0.00000000
v16  0.45722087 0.0000000  0 0.24337315 0.45722087  0 0.00000000 0.24337315
v17  0.00000000 0.0000000  0 0.00000000 1.98732278  0 0.00000000 0.00000000
v18  0.48192130 2.1946443  0 0.00000000 0.00000000  0 0.53208477 0.00000000
v19  3.26824681 0.3553306  0 0.63119701 0.00000000  0 0.00000000 0.63119701
v20  1.17867107 0.9983433  0 0.00000000 0.00000000  0 0.00000000 0.00000000
v21  0.48192130 2.1946443  0 0.00000000 0.00000000  0 0.53208477 0.00000000
v22  0.00000000 0.0000000  0 0.00000000 0.00000000  0 0.00000000 0.00000000
v23  3.26824681 0.3553306  0 0.63119701 0.00000000  0 0.00000000 0.63119701
v24  0.00000000 0.0000000  0 0.00000000 0.00000000  0 0.00000000 0.00000000
v25  0.00000000 0.0000000  0 0.00000000 0.00000000  0 0.00000000 0.00000000
v26  0.00000000 0.0000000  0 0.00000000 0.00000000  0 0.00000000 0.00000000
v27  0.03694117 0.0000000  0 0.00000000 0.00000000  0 0.02562246 0.00000000
v28  0.19714722 0.3553306  0 0.93214148 0.19714722  0 0.00000000 0.93214148
v29  0.00000000 0.0000000  0 0.00000000 0.07660585  0 0.68613875 0.00000000
v30  0.76928049 0.0000000  0 0.00000000 0.00000000  0 0.00000000 0.00000000
