Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
G1	G11	2	12	0.0071	0	0.5
G2	G11	2	12	8e-04	0	0.5
G3	G11	2	12	0	0	0.5
G4	G11	2	12	4e-04	0	0.5
G5	G11	2	12	5e-04	0	0.5
G6	G11	2	12	0.0011	0	0.5
G7	G11	2	12	4e-04	0	0.5
G8	G11	2	12	2e-04	0	0.5
G9	G11	2	12	0	0	0.5
G10	G11	2	12	0.0255	0	0.5
G11	G11	2	12	1	0.73936	0.5
G12	G11	2	12	0	0	0.5
G13	G11	2	12	0.0013	0	0.5
G14	G11	2	12	0.002	0	0.5
G15	G11	2	12	0	0	0.5
G16	G11	2	12	5e-04	0	0.5
G17	G11	2	12	0	0	0.5
G18	G11	2	12	0.0016	0	0.5
G19	G11	2	12	0	0	0.5
G20	G11	2	12	1e-04	0	0.5
G21	G11	2	12	0	0	0.5
G22	G11	2	12	0.0012	0	0.5
G23	G11	2	12	0.0023	0	0.5
G24	G11	2	12	0.0024	0	0.5
G25	G11	2	12	0.0016	0	0.5
G26	G11	2	12	0.0033	0	0.5
G27	G11	2	12	0.0018	0	0.5
G28	G11	2	12	0	0	0.5
G29	G11	2	12	0.0014	0	0.5
G30	G11	2	12	0.0023	0	0.5
G31	G11	2	12	0	0	0.5
G32	G11	2	12	9e-04	0	0.5
G33	G11	2	12	0.0011	0	0.5
G34	G11	2	12	4e-04	0	0.5
G35	G11	2	12	0	0	0.5
G36	G11	2	12	0.0018	0	0.5
G37	G11	2	12	0	0	0.5
G38	G11	2	12	0	0	0.5
G39	G11	2	12	0.0016	0	0.5
G40	G11	2	12	6e-04	0	0.5
G41	G11	2	12	0	0	0.5
G42	G11	2	12	0.0024	0	0.5
G43	G11	2	12	0.001	0	0.5
G44	G11	2	12	5e-04	0	0.5
G45	G11	2	12	0.0019	0	0.5
G46	G11	2	12	0.0018	0	0.5
G47	G11	2	12	0	0	0.5
G48	G11	2	12	9e-04	0	0.5
G49	G11	2	12	3e-04	0	0.5
G50	G11	2	12	3e-04	0	0.5
G51	G11	2	12	0	0	0.5
G52	G11	2	12	0	0	0.5
G53	G11	2	12	0	0	0.5
