Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
G1	G49	2	9	0.005	0	0.5
G2	G49	2	9	0	0	0.5
G3	G49	2	9	0.0033	0	0.5
G4	G49	2	9	0	0	0.5
G5	G49	2	9	0	0	0.5
G6	G49	2	9	0	0	0.5
G7	G49	2	9	0	0	0.5
G8	G49	2	9	0	0	0.5
G9	G49	2	9	0	0	0.5
G10	G49	2	9	0	0	0.5
G11	G49	2	9	0	0	0.5
G12	G49	2	9	0.0107	0	0.5
G13	G49	2	9	0.0033	0	0.5
G14	G49	2	9	0.0039	0	0.5
G15	G49	2	9	0.0041	0	0.5
G16	G49	2	9	0	0	0.5
G17	G49	2	9	0.0013	0	0.5
G18	G49	2	9	2e-04	0	0.5
G19	G49	2	9	6e-04	0	0.5
G20	G49	2	9	9e-04	0	0.5
G21	G49	2	9	0	0	0.5
G22	G49	2	9	0.0013	0	0.5
G23	G49	2	9	0	0	0.5
G24	G49	2	9	0	0	0.5
G25	G49	2	9	0	0	0.5
G26	G49	2	9	6e-04	0	0.5
G27	G49	2	9	6e-04	0	0.5
G28	G49	2	9	0	0	0.5
G29	G49	2	9	0	0	0.5
G30	G49	2	9	0	0	0.5
G31	G49	2	9	0	0	0.5
G32	G49	2	9	0.0018	0	0.5
G33	G49	2	9	0	0	0.5
G34	G49	2	9	8e-04	0	0.5
G35	G49	2	9	9e-04	0	0.5
G36	G49	2	9	0.0012	0	0.5
G37	G49	2	9	0	0	0.5
G38	G49	2	9	0.0011	0	0.5
G39	G49	2	9	0	0	0.5
G40	G49	2	9	0.002	0	0.5
G41	G49	2	9	0.002	0	0.5
G42	G49	2	9	0	0	0.5
G43	G49	2	9	0.0052	0	0.5
G44	G49	2	9	6e-04	0	0.5
G45	G49	2	9	0.0038	0	0.5
G46	G49	2	9	0.0011	0	0.5
G47	G49	2	9	0	0	0.5
G48	G49	2	9	1	0.49922	0.5
G49	G49	2	9	1	0.64525	0.5
G50	G49	2	9	0.0023	0	0.5
G51	G49	2	9	0	0	0.5
G52	G49	2	9	0.0012	0	0.5
G53	G49	2	9	0	0	0.5
G54	G49	2	9	0	0	0.5
G55	G49	2	9	0	0	0.5
G56	G49	2	9	0	0	0.5
G57	G49	2	9	9e-04	0	0.5
G58	G49	2	9	0	0	0.5
G59	G49	2	9	0.0035	0	0.5
G60	G49	2	9	0.0057	0	0.5
G61	G49	2	9	0	0	0.5
G62	G49	2	9	0	0	0.5
G63	G49	2	9	0.0018	0	0.5
G64	G49	2	9	0.002	0	0.5
G65	G49	2	9	0.004	0	0.5
G66	G49	2	9	5e-04	0	0.5
G67	G49	2	9	0	0	0.5
G68	G49	2	9	0	0	0.5
G69	G49	2	9	0	0	0.5
G70	G49	2	9	0.0011	0	0.5
G71	G49	2	9	0	0	0.5
G72	G49	2	9	0	0	0.5
G73	G49	2	9	4e-04	0	0.5
G74	G49	2	9	0.0018	0	0.5
G75	G49	2	9	0	0	0.5
G76	G49	2	9	0	0	0.5
G77	G49	2	9	8e-04	0	0.5
G78	G49	2	9	4e-04	0	0.5
G79	G49	2	9	0	0	0.5
G80	G49	2	9	0.0229	0	0.5
G81	G49	2	9	0	0	0.5
G82	G49	2	9	0.0011	0	0.5
G83	G49	2	9	0.0031	0	0.5
G84	G49	2	9	0	0	0.5
G85	G49	2	9	0.0037	0	0.5
G86	G49	2	9	0.0051	0	0.5
G87	G49	2	9	5e-04	0	0.5
G88	G49	2	9	5e-04	0	0.5
G89	G49	2	9	0	0	0.5
G90	G49	2	9	0.0167	0	0.5
G91	G49	2	9	1e-04	0	0.5
G92	G49	2	9	0	0	0.5
G93	G49	2	9	0	0	0.5
G94	G49	2	9	0	0	0.5
G95	G49	2	9	9e-04	0	0.5
G96	G49	2	9	9e-04	0	0.5
G97	G49	2	9	0	0	0.5
G98	G49	2	9	0	0	0.5
G99	G49	2	9	0.0013	0	0.5
G100	G49	2	9	0	0	0.5
G1	G49	10	21	0.0012	0	0.5
G2	G49	10	21	0.0049	0	0.5
G3	G49	10	21	0	0	0.5
G4	G49	10	21	7e-04	0	0.5
G5	G49	10	21	0.0062	0	0.5
G6	G49	10	21	0.0013	0	0.5
G7	G49	10	21	0.0155	0	0.5
G8	G49	10	21	0	0	0.5
G9	G49	10	21	0.0027	0	0.5
G10	G49	10	21	0.0041	0	0.5
G11	G49	10	21	0	0	0.5
G12	G49	10	21	5e-04	0	0.5
G13	G49	10	21	0.0024	0	0.5
G14	G49	10	21	0	0	0.5
G15	G49	10	21	0	0	0.5
G16	G49	10	21	0.0044	0	0.5
G17	G49	10	21	0.0012	0	0.5
G18	G49	10	21	0.0018	0	0.5
G19	G49	10	21	0.0021	0	0.5
G20	G49	10	21	0.0058	0	0.5
G21	G49	10	21	0.0151	0	0.5
G22	G49	10	21	7e-04	0	0.5
G23	G49	10	21	0.0072	0	0.5
G24	G49	10	21	0.0119	0	0.5
G25	G49	10	21	4e-04	0	0.5
G26	G49	10	21	0	0	0.5
G27	G49	10	21	0.0027	0	0.5
G28	G49	10	21	0	0	0.5
G29	G49	10	21	0.0011	0	0.5
G30	G49	10	21	0	0	0.5
G31	G49	10	21	0.0084	0	0.5
G32	G49	10	21	0.0024	0	0.5
G33	G49	10	21	9e-04	0	0.5
G34	G49	10	21	7e-04	0	0.5
G35	G49	10	21	0.0026	0	0.5
G36	G49	10	21	0.003	0	0.5
G37	G49	10	21	0.0017	0	0.5
G38	G49	10	21	0.0017	0	0.5
G39	G49	10	21	0.0179	0	0.5
G40	G49	10	21	0.0054	0	0.5
G41	G49	10	21	0	0	0.5
G42	G49	10	21	0	0	0.5
G43	G49	10	21	0.0025	0	0.5
G44	G49	10	21	0.0111	0	0.5
G45	G49	10	21	0.0198	0	0.5
G46	G49	10	21	0	0	0.5
G47	G49	10	21	0.0039	0	0.5
G48	G49	10	21	0.1927	0	0.5
G49	G49	10	21	1	0.27844	0.5
G50	G49	10	21	0.396	0	0.5
G51	G49	10	21	0.009	0	0.5
G52	G49	10	21	0.0093	0	0.5
G53	G49	10	21	0.0117	0	0.5
G54	G49	10	21	0.6166	0.07417	0.5
G55	G49	10	21	6e-04	0	0.5
G56	G49	10	21	0.0017	0	0.5
G57	G49	10	21	0.0023	0	0.5
G58	G49	10	21	0	0	0.5
G59	G49	10	21	0.0186	0	0.5
G60	G49	10	21	0.0062	0	0.5
G61	G49	10	21	6e-04	0	0.5
G62	G49	10	21	0.0035	0	0.5
G63	G49	10	21	0.003	0	0.5
G64	G49	10	21	0.0075	0	0.5
G65	G49	10	21	0.0061	0	0.5
G66	G49	10	21	0.0045	0	0.5
G67	G49	10	21	0	0	0.5
G68	G49	10	21	3e-04	0	0.5
G69	G49	10	21	0.0086	0	0.5
