Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
G1	G29	2	10	0.0012	0	0.5
G2	G29	2	10	0	0	0.5
G3	G29	2	10	0	0	0.5
G4	G29	2	10	0	0	0.5
G5	G29	2	10	0	0	0.5
G6	G29	2	10	0	0	0.5
G7	G29	2	10	0.0014	0	0.5
G8	G29	2	10	7e-04	0	0.5
G9	G29	2	10	0	0	0.5
G10	G29	2	10	0.0273	0	0.5
G11	G29	2	10	0	0	0.5
G12	G29	2	10	0.0015	0	0.5
G13	G29	2	10	0.0015	0	0.5
G14	G29	2	10	0	0	0.5
G15	G29	2	10	0	0	0.5
G16	G29	2	10	0	0	0.5
G17	G29	2	10	0.0013	0	0.5
G18	G29	2	10	0	0	0.5
G19	G29	2	10	0	0	0.5
G20	G29	2	10	0.0413	0	0.5
G21	G29	2	10	0	0	0.5
G22	G29	2	10	6e-04	0	0.5
G23	G29	2	10	0	0	0.5
G24	G29	2	10	0	0	0.5
G25	G29	2	10	0	0	0.5
G26	G29	2	10	0	0	0.5
G27	G29	2	10	0	0	0.5
G28	G29	2	10	7e-04	0	0.5
G29	G29	2	10	1	0.71245	0.5
G30	G29	2	10	0.005	0	0.5
G31	G29	2	10	0	0	0.5
G32	G29	2	10	0.003	0	0.5
G33	G29	2	10	0	0	0.5
G34	G29	2	10	0	0	0.5
G35	G29	2	10	0	0	0.5
G36	G29	2	10	0	0	0.5
G37	G29	2	10	0	0	0.5
G38	G29	2	10	4e-04	0	0.5
G39	G29	2	10	0	0	0.5
G40	G29	2	10	0	0	0.5
G41	G29	2	10	0	0	0.5
G42	G29	2	10	0	0	0.5
G43	G29	2	10	0	0	0.5
G44	G29	2	10	0	0	0.5
G45	G29	2	10	2e-04	0	0.5
G46	G29	2	10	0.0036	0	0.5
G47	G29	2	10	0	0	0.5
G48	G29	2	10	0	0	0.5
G49	G29	2	10	0	0	0.5
G50	G29	2	10	0	0	0.5
G51	G29	2	10	0	0	0.5
G52	G29	2	10	0	0	0.5
G53	G29	2	10	0	0	0.5
G54	G29	2	10	0	0	0.5
G55	G29	2	10	0.0028	0	0.5
G56	G29	2	10	0	0	0.5
G57	G29	2	10	0	0	0.5
G58	G29	2	10	0	0	0.5
G59	G29	2	10	0	0	0.5
G60	G29	2	10	0	0	0.5
G61	G29	2	10	0	0	0.5
G62	G29	2	10	0	0	0.5
G63	G29	2	10	0.0012	0	0.5
G64	G29	2	10	0	0	0.5
G65	G29	2	10	0.0018	0	0.5
G66	G29	2	10	2e-04	0	0.5
G67	G29	2	10	0.0012	0	0.5
G68	G29	2	10	3e-04	0	0.5
G69	G29	2	10	0	0	0.5
G70	G29	2	10	0	0	0.5
G71	G29	2	10	2e-04	0	0.5
G72	G29	2	10	0	0	0.5
G73	G29	2	10	0	0	0.5
G74	G29	2	10	0	0	0.5
G75	G29	2	10	0.0015	0	0.5
G76	G29	2	10	0	0	0.5
G77	G29	2	10	0.0011	0	0.5
G78	G29	2	10	0	0	0.5
G79	G29	2	10	0.0046	0	0.5
G80	G29	2	10	0	0	0.5
G81	G29	2	10	0	0	0.5
G82	G29	2	10	0	0	0.5
G83	G29	2	10	0	0	0.5
G84	G29	2	10	0	0	0.5
G85	G29	2	10	0.0031	0	0.5
G86	G29	2	10	0	0	0.5
G87	G29	2	10	6e-04	0	0.5
G88	G29	2	10	0	0	0.5
G89	G29	2	10	0	0	0.5
G90	G29	2	10	0	0	0.5
G91	G29	2	10	0.0021	0	0.5
G92	G29	2	10	0.0021	0	0.5
G93	G29	2	10	4e-04	0	0.5
G94	G29	2	10	0	0	0.5
G95	G29	2	10	0	0	0.5
G96	G29	2	10	0	0	0.5
G97	G29	2	10	4e-04	0	0.5
G98	G29	2	10	0	0	0.5
G99	G29	2	10	0	0	0.5
G100	G29	2	10	0.0021	0	0.5
G1	G29	11	21	0	0	0.5
G2	G29	11	21	0	0	0.5
G3	G29	11	21	0	0	0.5
G4	G29	11	21	0	0	0.5
G5	G29	11	21	0	0	0.5
G6	G29	11	21	9e-04	0	0.5
G7	G29	11	21	0	0	0.5
G8	G29	11	21	0	0	0.5
G9	G29	11	21	0	0	0.5
G10	G29	11	21	0	0	0.5
G11	G29	11	21	0	0	0.5
G12	G29	11	21	0	0	0.5
G13	G29	11	21	8e-04	0	0.5
G14	G29	11	21	0	0	0.5
G15	G29	11	21	0	0	0.5
G16	G29	11	21	0	0	0.5
G17	G29	11	21	0	0	0.5
G18	G29	11	21	0	0	0.5
G19	G29	11	21	0	0	0.5
G20	G29	11	21	0.0173	0	0.5
G21	G29	11	21	0	0	0.5
G22	G29	11	21	0	0	0.5
G23	G29	11	21	0	0	0.5
G24	G29	11	21	1e-04	0	0.5
G25	G29	11	21	1e-04	0	0.5
G26	G29	11	21	0	0	0.5
G27	G29	11	21	0	0	0.5
G28	G29	11	21	0	0	0.5
G29	G29	11	21	0.1338	0	0.5
G30	G29	11	21	0.0133	0	0.5
G31	G29	11	21	0	0	0.5
G32	G29	11	21	0	0	0.5
G33	G29	11	21	0	0	0.5
G34	G29	11	21	1e-04	0	0.5
G35	G29	11	21	0.0013	0	0.5
G36	G29	11	21	0	0	0.5
G37	G29	11	21	0	0	0.5
G38	G29	11	21	0	0	0.5
G39	G29	11	21	0	0	0.5
G40	G29	11	21	0	0	0.5
G41	G29	11	21	0	0	0.5
G42	G29	11	21	0	0	0.5
G43	G29	11	21	0	0	0.5
G44	G29	11	21	0	0	0.5
G45	G29	11	21	3e-04	0	0.5
G46	G29	11	21	4e-04	0	0.5
G47	G29	11	21	0	0	0.5
G48	G29	11	21	0	0	0.5
G49	G29	11	21	0	0	0.5
G50	G29	11	21	0	0	0.5
G51	G29	11	21	0	0	0.5
G52	G29	11	21	1e-04	0	0.5
G53	G29	11	21	8e-04	0	0.5
G54	G29	11	21	0	0	0.5
G55	G29	11	21	0	0	0.5
G56	G29	11	21	0	0	0.5
G57	G29	11	21	0	0	0.5
G58	G29	11	21	0	0	0.5
G59	G29	11	21	0	0	0.5
G60	G29	11	21	0	0	0.5
G61	G29	11	21	0	0	0.5
G62	G29	11	21	0	0	0.5
G63	G29	11	21	0	0	0.5
G64	G29	11	21	0	0	0.5
G65	G29	11	21	0	0	0.5
G66	G29	11	21	0.0013	0	0.5
G67	G29	11	21	2e-04	0	0.5
G68	G29	11	21	0	0	0.5
G69	G29	11	21	0	0	0.5
G70	G29	11	21	0	0	0.5
G71	G29	11	21	6e-04	0	0.5
G72	G29	11	21	0	0	0.5
G73	G29	11	21	0	0	0.5
G74	G29	11	21	0	0	0.5
G75	G29	11	21	2e-04	0	0.5
G76	G29	11	21	0	0	0.5
G77	G29	11	21	0	0	0.5
G78	G29	11	21	0	0	0.5
G79	G29	11	21	1e-04	0	0.5
G80	G29	11	21	0	0	0.5
G81	G29	11	21	0	0	0.5
G82	G29	11	21	0	0	0.5
G83	G29	11	21	0	0	0.5
G84	G29	11	21	0	0	0.5
G85	G29	11	21	0	0	0.5
G86	G29	11	21	0	0	0.5
G87	G29	11	21	2e-04	0	0.5
G88	G29	11	21	0	0	0.5
G89	G29	11	21	0	0	0.5
G90	G29	11	21	0	0	0.5
G91	G29	11	21	0	0	0.5
G92	G29	11	21	0	0	0.5
G93	G29	11	21	0.003	0	0.5
G94	G29	11	21	0	0	0.5
G95	G29	11	21	0	0	0.5
G96	G29	11	21	0	0	0.5
G97	G29	11	21	0	0	0.5
G98	G29	11	21	0	0	0.5
G99	G29	11	21	2e-04	0	0.5
G100	G29	11	21	0	0	0.5
