Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
1	G1	G1	2	13	1	0.73664	0.5
2	G2	G1	2	13	0	0	0.5
3	G3	G1	2	13	0	0	0.5
4	G4	G1	2	13	0	0	0.5
5	G5	G1	2	13	0	0	0.5
6	G6	G1	2	13	0	0	0.5
7	G7	G1	2	13	0	0	0.5
8	G8	G1	2	13	0	0	0.5
9	G9	G1	2	13	0	0	0.5
10	G10	G1	2	13	0	0	0.5
11	G11	G1	2	13	0	0	0.5
12	G12	G1	2	13	0.0018	0	0.5
13	G13	G1	2	13	0	0	0.5
14	G14	G1	2	13	0	0	0.5
15	G15	G1	2	13	0	0	0.5
16	G16	G1	2	13	0	0	0.5
17	G17	G1	2	13	0	0	0.5
18	G18	G1	2	13	0	0	0.5
19	G19	G1	2	13	0	0	0.5
20	G20	G1	2	13	0	0	0.5
21	G21	G1	2	13	0	0	0.5
22	G22	G1	2	13	0	0	0.5
23	G23	G1	2	13	1e-04	0	0.5
24	G24	G1	2	13	0	0	0.5
25	G25	G1	2	13	6e-04	0	0.5
26	G26	G1	2	13	0	0	0.5
27	G27	G1	2	13	0	0	0.5
28	G28	G1	2	13	0	0	0.5
29	G29	G1	2	13	0.0022	0	0.5
30	G30	G1	2	13	9e-04	0	0.5
31	G31	G1	2	13	0	0	0.5
32	G32	G1	2	13	0	0	0.5
33	G33	G1	2	13	0	0	0.5
34	G34	G1	2	13	0	0	0.5
35	G35	G1	2	13	0	0	0.5
36	G36	G1	2	13	0	0	0.5
37	G37	G1	2	13	0	0	0.5
38	G38	G1	2	13	0.1007	0	0.5
39	G39	G1	2	13	0	0	0.5
40	G40	G1	2	13	0	0	0.5
41	G41	G1	2	13	0	0	0.5
42	G42	G1	2	13	2e-04	0	0.5
43	G43	G1	2	13	0.0015	0	0.5
44	G44	G1	2	13	0	0	0.5
45	G45	G1	2	13	0.005	0	0.5
46	G46	G1	2	13	6e-04	0	0.5
47	G47	G1	2	13	0	0	0.5
48	G48	G1	2	13	0	0	0.5
49	G49	G1	2	13	0	0	0.5
50	G50	G1	2	13	5e-04	0	0.5
51	G51	G1	2	13	0	0	0.5
52	G52	G1	2	13	0	0	0.5
53	G53	G1	2	13	0	0	0.5
54	G54	G1	2	13	0	0	0.5
55	G55	G1	2	13	0.0014	0	0.5
56	G56	G1	2	13	0.0011	0	0.5
57	G57	G1	2	13	9e-04	0	0.5
58	G58	G1	2	13	0	0	0.5
59	G59	G1	2	13	0	0	0.5
60	G60	G1	2	13	0.0048	0	0.5
61	G61	G1	2	13	0	0	0.5
62	G62	G1	2	13	0	0	0.5
63	G63	G1	2	13	0	0	0.5
64	G64	G1	2	13	0	0	0.5
65	G65	G1	2	13	0	0	0.5
66	G66	G1	2	13	0	0	0.5
67	G67	G1	2	13	0	0	0.5
68	G68	G1	2	13	0	0	0.5
69	G69	G1	2	13	9e-04	0	0.5
70	G70	G1	2	13	0	0	0.5
71	G71	G1	2	13	4e-04	0	0.5
72	G72	G1	2	13	0	0	0.5
73	G73	G1	2	13	0	0	0.5
74	G74	G1	2	13	0	0	0.5
75	G75	G1	2	13	0	0	0.5
76	G76	G1	2	13	0	0	0.5
77	G77	G1	2	13	0.0012	0	0.5
78	G78	G1	2	13	0	0	0.5
79	G79	G1	2	13	0	0	0.5
80	G80	G1	2	13	0	0	0.5
81	G81	G1	2	13	0	0	0.5
82	G82	G1	2	13	0	0	0.5
83	G83	G1	2	13	9e-04	0	0.5
84	G84	G1	2	13	0	0	0.5
85	G85	G1	2	13	0	0	0.5
86	G86	G1	2	13	0	0	0.5
87	G87	G1	2	13	0	0	0.5
88	G88	G1	2	13	0.0029	0	0.5
89	G89	G1	2	13	1e-04	0	0.5
90	G90	G1	2	13	1e-04	0	0.5
91	G91	G1	2	13	6e-04	0	0.5
92	G92	G1	2	13	0	0	0.5
93	G93	G1	2	13	0	0	0.5
94	G94	G1	2	13	0	0	0.5
95	G95	G1	2	13	3e-04	0	0.5
96	G96	G1	2	13	0	0	0.5
97	G97	G1	2	13	5e-04	0	0.5
98	G98	G1	2	13	0	0	0.5
99	G99	G1	2	13	3e-04	0	0.5
100	G100	G1	2	13	0	0	0.5
101	G1	G1	14	21	0	0	0.5
102	G2	G1	14	21	0	0	0.5
103	G3	G1	14	21	0	0	0.5
104	G4	G1	14	21	0	0	0.5
105	G5	G1	14	21	0	0	0.5
