Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
G1	G38	2	4	0.0015	0	0.5
G2	G38	2	4	0	0	0.5
G3	G38	2	4	0	0	0.5
G4	G38	2	4	0.001	0	0.5
G5	G38	2	4	1e-04	0	0.5
G6	G38	2	4	5e-04	0	0.5
G7	G38	2	4	0.0077	0	0.5
G8	G38	2	4	3e-04	0	0.5
G9	G38	2	4	0	0	0.5
G10	G38	2	4	0.0013	0	0.5
G11	G38	2	4	3e-04	0	0.5
G12	G38	2	4	0.0019	0	0.5
G13	G38	2	4	7e-04	0	0.5
G14	G38	2	4	3e-04	0	0.5
G15	G38	2	4	0.0033	0	0.5
G16	G38	2	4	0.0011	0	0.5
G17	G38	2	4	0	0	0.5
G18	G38	2	4	5e-04	0	0.5
G19	G38	2	4	4e-04	0	0.5
G20	G38	2	4	1e-04	0	0.5
G21	G38	2	4	4e-04	0	0.5
G22	G38	2	4	0	0	0.5
G23	G38	2	4	8e-04	0	0.5
G24	G38	2	4	1e-04	0	0.5
G25	G38	2	4	0	0	0.5
G26	G38	2	4	1e-04	0	0.5
G27	G38	2	4	0	0	0.5
G28	G38	2	4	0	0	0.5
G29	G38	2	4	0	0	0.5
G30	G38	2	4	0	0	0.5
G31	G38	2	4	7e-04	0	0.5
G32	G38	2	4	3e-04	0	0.5
G33	G38	2	4	0.0048	0	0.5
G34	G38	2	4	0.0027	0	0.5
G35	G38	2	4	0	0	0.5
G36	G38	2	4	7e-04	0	0.5
G37	G38	2	4	8e-04	0	0.5
G38	G38	2	4	1	0.54506	0.5
G39	G38	2	4	0	0	0.5
G40	G38	2	4	8e-04	0	0.5
G41	G38	2	4	3e-04	0	0.5
G42	G38	2	4	0.0016	0	0.5
G43	G38	2	4	0.0044	0	0.5
G44	G38	2	4	0	0	0.5
G45	G38	2	4	0.001	0	0.5
G46	G38	2	4	0	0	0.5
G47	G38	2	4	0	0	0.5
G48	G38	2	4	5e-04	0	0.5
G49	G38	2	4	7e-04	0	0.5
G50	G38	2	4	0	0	0.5
G1	G38	5	21	0	0	0.5
G2	G38	5	21	2e-04	0	0.5
G3	G38	5	21	0	0	0.5
G4	G38	5	21	0	0	0.5
G5	G38	5	21	0	0	0.5
G6	G38	5	21	0	0	0.5
G7	G38	5	21	0	0	0.5
G8	G38	5	21	0	0	0.5
G9	G38	5	21	0	0	0.5
G10	G38	5	21	0	0	0.5
G11	G38	5	21	0	0	0.5
G12	G38	5	21	0.0012	0	0.5
G13	G38	5	21	2e-04	0	0.5
G14	G38	5	21	0	0	0.5
G15	G38	5	21	0	0	0.5
G16	G38	5	21	0	0	0.5
G17	G38	5	21	0.0018	0	0.5
G18	G38	5	21	2e-04	0	0.5
G19	G38	5	21	0	0	0.5
G20	G38	5	21	9e-04	0	0.5
G21	G38	5	21	0	0	0.5
G22	G38	5	21	3e-04	0	0.5
G23	G38	5	21	0	0	0.5
G24	G38	5	21	0	0	0.5
G25	G38	5	21	0	0	0.5
G26	G38	5	21	0.0016	0	0.5
G27	G38	5	21	0	0	0.5
G28	G38	5	21	0	0	0.5
G29	G38	5	21	0	0	0.5
G30	G38	5	21	3e-04	0	0.5
G31	G38	5	21	0	0	0.5
G32	G38	5	21	0	0	0.5
G33	G38	5	21	0.0012	0	0.5
G34	G38	5	21	0	0	0.5
G35	G38	5	21	0	0	0.5
G36	G38	5	21	7e-04	0	0.5
G37	G38	5	21	0	0	0.5
G38	G38	5	21	0	0	0.5
G39	G38	5	21	0	0	0.5
G40	G38	5	21	0	0	0.5
G41	G38	5	21	0.0029	0	0.5
G42	G38	5	21	4e-04	0	0.5
G43	G38	5	21	0	0	0.5
G44	G38	5	21	5e-04	0	0.5
G45	G38	5	21	0	0	0.5
G46	G38	5	21	0	0	0.5
G47	G38	5	21	0.001	0	0.5
G48	G38	5	21	0.001	0	0.5
G49	G38	5	21	0	0	0.5
G50	G38	5	21	0	0	0.5
