Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
G1	G23	2	21	0.001	0	0.5
G2	G23	2	21	0.0034	0	0.5
G3	G23	2	21	5e-04	0	0.5
G4	G23	2	21	0.0514	0	0.5
G5	G23	2	21	0.0034	0	0.5
G6	G23	2	21	0.0046	0	0.5
G7	G23	2	21	0.0111	0	0.5
G8	G23	2	21	0.0018	0	0.5
G9	G23	2	21	0	0	0.5
G10	G23	2	21	0.0022	0	0.5
G11	G23	2	21	0.0014	0	0.5
G12	G23	2	21	0.4697	0	0.5
G13	G23	2	21	0.0031	0	0.5
G14	G23	2	21	0.0028	0	0.5
G15	G23	2	21	0.0015	0	0.5
G16	G23	2	21	0.0029	0	0.5
G17	G23	2	21	0.0174	0	0.5
G18	G23	2	21	0.0019	0	0.5
G19	G23	2	21	3e-04	0	0.5
G20	G23	2	21	0.0032	0	0.5
G21	G23	2	21	0.0016	0	0.5
G22	G23	2	21	0.0435	0	0.5
G23	G23	2	21	1	0.61925	0.5
G24	G23	2	21	0.0765	0	0.5
G25	G23	2	21	0.0012	0	0.5
G26	G23	2	21	0.0045	0	0.5
G27	G23	2	21	4e-04	0	0.5
G28	G23	2	21	0.0017	0	0.5
G29	G23	2	21	9e-04	0	0.5
G30	G23	2	21	0.0034	0	0.5
G31	G23	2	21	0.0025	0	0.5
G32	G23	2	21	0.0023	0	0.5
G33	G23	2	21	0.0022	0	0.5
G34	G23	2	21	0.0056	0	0.5
G35	G23	2	21	0.0012	0	0.5
G36	G23	2	21	0.0118	0	0.5
G37	G23	2	21	1	-0.20958	0.5
G38	G23	2	21	0.002	0	0.5
G39	G23	2	21	0.0154	0	0.5
G40	G23	2	21	5e-04	0	0.5
G41	G23	2	21	0.0837	0	0.5
G42	G23	2	21	0.0047	0	0.5
G43	G23	2	21	0.0044	0	0.5
G44	G23	2	21	0.0288	0	0.5
G45	G23	2	21	0.0019	0	0.5
G46	G23	2	21	0.0045	0	0.5
G47	G23	2	21	0.0019	0	0.5
G48	G23	2	21	0.0014	0	0.5
G49	G23	2	21	7e-04	0	0.5
G50	G23	2	21	0.0163	0	0.5
