Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
G1	G37	2	9	0	0	0.5
G2	G37	2	9	0.0012	0	0.5
G3	G37	2	9	0.0056	0	0.5
G4	G37	2	9	0.0037	0	0.5
G5	G37	2	9	0.0078	0	0.5
G6	G37	2	9	0.0039	0	0.5
G7	G37	2	9	0.0011	0	0.5
G8	G37	2	9	0.0051	0	0.5
G9	G37	2	9	1e-04	0	0.5
G10	G37	2	9	0.0023	0	0.5
G11	G37	2	9	0.0033	0	0.5
G12	G37	2	9	0.0042	0	0.5
G13	G37	2	9	0.0035	0	0.5
G14	G37	2	9	0	0	0.5
G15	G37	2	9	0.0025	0	0.5
G16	G37	2	9	0.0046	0	0.5
G17	G37	2	9	0.0023	0	0.5
G18	G37	2	9	6e-04	0	0.5
G19	G37	2	9	0.0037	0	0.5
G20	G37	2	9	7e-04	0	0.5
G21	G37	2	9	0.0038	0	0.5
G22	G37	2	9	0.0042	0	0.5
G23	G37	2	9	0.0044	0	0.5
G24	G37	2	9	3e-04	0	0.5
G25	G37	2	9	0.0017	0	0.5
G26	G37	2	9	0.0014	0	0.5
G27	G37	2	9	0.0021	0	0.5
G28	G37	2	9	0.0021	0	0.5
G29	G37	2	9	0.0024	0	0.5
G30	G37	2	9	0.001	0	0.5
G31	G37	2	9	0.0031	0	0.5
G32	G37	2	9	0.0028	0	0.5
G33	G37	2	9	1e-04	0	0.5
G34	G37	2	9	0.0012	0	0.5
G35	G37	2	9	0.0015	0	0.5
G36	G37	2	9	0.0025	0	0.5
G37	G37	2	9	1	0.72709	0.5
G38	G37	2	9	0.0016	0	0.5
G39	G37	2	9	0.0039	0	0.5
G40	G37	2	9	0.0043	0	0.5
G41	G37	2	9	0.0041	0	0.5
G42	G37	2	9	0.0025	0	0.5
G43	G37	2	9	4e-04	0	0.5
G44	G37	2	9	9e-04	0	0.5
G45	G37	2	9	0.0021	0	0.5
G46	G37	2	9	0.0033	0	0.5
G47	G37	2	9	0.0029	0	0.5
G48	G37	2	9	4e-04	0	0.5
G49	G37	2	9	0.0011	0	0.5
G50	G37	2	9	0.0013	0	0.5
G1	G37	10	21	0.0021	0	0.5
G2	G37	10	21	0.0025	0	0.5
G3	G37	10	21	0.006	0	0.5
G4	G37	10	21	0.0087	0	0.5
G5	G37	10	21	0.0044	0	0.5
G6	G37	10	21	0.0087	0	0.5
G7	G37	10	21	8e-04	0	0.5
G8	G37	10	21	0.0049	0	0.5
G9	G37	10	21	0.0022	0	0.5
G10	G37	10	21	0.0032	0	0.5
G11	G37	10	21	0.0079	0	0.5
G12	G37	10	21	0.0039	0	0.5
G13	G37	10	21	0.0078	0	0.5
G14	G37	10	21	0.0072	0	0.5
G15	G37	10	21	0.0052	0	0.5
G16	G37	10	21	0.0033	0	0.5
G17	G37	10	21	0.0147	0	0.5
G18	G37	10	21	0.0033	0	0.5
G19	G37	10	21	0.0044	0	0.5
G20	G37	10	21	0.0169	0	0.5
G21	G37	10	21	0.0015	0	0.5
G22	G37	10	21	0.0096	0	0.5
G23	G37	10	21	0.0395	0	0.5
G24	G37	10	21	0.0137	0	0.5
G25	G37	10	21	0.0071	0	0.5
G26	G37	10	21	0.0039	0	0.5
G27	G37	10	21	0.0023	0	0.5
G28	G37	10	21	0.0044	0	0.5
G29	G37	10	21	0.0063	0	0.5
G30	G37	10	21	0.0023	0	0.5
G31	G37	10	21	0.0206	0	0.5
G32	G37	10	21	0.0073	0	0.5
G33	G37	10	21	0.0055	0	0.5
G34	G37	10	21	0.0048	0	0.5
G35	G37	10	21	0.0491	0	0.5
G36	G37	10	21	0.007	0	0.5
G37	G37	10	21	0.003	0	0.5
G38	G37	10	21	0.0037	0	0.5
G39	G37	10	21	0.004	0	0.5
G40	G37	10	21	0.0066	0	0.5
G41	G37	10	21	0.0019	0	0.5
G42	G37	10	21	0.0017	0	0.5
G43	G37	10	21	0.0041	0	0.5
G44	G37	10	21	0.0083	0	0.5
G45	G37	10	21	0.0098	0	0.5
G46	G37	10	21	0.0063	0	0.5
G47	G37	10	21	0.0031	0	0.5
G48	G37	10	21	0.0093	0	0.5
G49	G37	10	21	0.0063	0	0.5
G50	G37	10	21	0.0046	0	0.5
