Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
G1	G50	2	8	2e-04	0	0.5
G2	G50	2	8	5e-04	0	0.5
G3	G50	2	8	8e-04	0	0.5
G4	G50	2	8	4e-04	0	0.5
G5	G50	2	8	0.001	0	0.5
G6	G50	2	8	1e-04	0	0.5
G7	G50	2	8	0.0016	0	0.5
G8	G50	2	8	2e-04	0	0.5
G9	G50	2	8	0.0018	0	0.5
G10	G50	2	8	6e-04	0	0.5
G11	G50	2	8	0.0017	0	0.5
G12	G50	2	8	6e-04	0	0.5
G13	G50	2	8	7e-04	0	0.5
G14	G50	2	8	0	0	0.5
G15	G50	2	8	4e-04	0	0.5
G16	G50	2	8	0	0	0.5
G17	G50	2	8	5e-04	0	0.5
G18	G50	2	8	0.0022	0	0.5
G19	G50	2	8	0.016	0	0.5
G20	G50	2	8	0.0016	0	0.5
G21	G50	2	8	7e-04	0	0.5
G22	G50	2	8	0.0061	0	0.5
G23	G50	2	8	0.0012	0	0.5
G24	G50	2	8	5e-04	0	0.5
G25	G50	2	8	8e-04	0	0.5
G26	G50	2	8	0	0	0.5
G27	G50	2	8	0.0019	0	0.5
G28	G50	2	8	3e-04	0	0.5
G29	G50	2	8	0.0055	0	0.5
G30	G50	2	8	0.001	0	0.5
G31	G50	2	8	3e-04	0	0.5
G32	G50	2	8	0.0106	0	0.5
G33	G50	2	8	4e-04	0	0.5
G34	G50	2	8	1e-04	0	0.5
G35	G50	2	8	0.0011	0	0.5
G36	G50	2	8	0.0036	0	0.5
G37	G50	2	8	4e-04	0	0.5
G38	G50	2	8	0.0034	0	0.5
G39	G50	2	8	5e-04	0	0.5
G40	G50	2	8	0.0018	0	0.5
G41	G50	2	8	0.0055	0	0.5
G42	G50	2	8	4e-04	0	0.5
G43	G50	2	8	0.0018	0	0.5
G44	G50	2	8	0.002	0	0.5
G45	G50	2	8	9e-04	0	0.5
G46	G50	2	8	9e-04	0	0.5
G47	G50	2	8	0.0028	0	0.5
G48	G50	2	8	6e-04	0	0.5
G49	G50	2	8	0.0044	0	0.5
G50	G50	2	8	1	0.67742	0.5
G1	G50	9	21	1e-04	0	0.5
G2	G50	9	21	5e-04	0	0.5
G3	G50	9	21	1e-04	0	0.5
G4	G50	9	21	0	0	0.5
G5	G50	9	21	6e-04	0	0.5
G6	G50	9	21	4e-04	0	0.5
G7	G50	9	21	5e-04	0	0.5
G8	G50	9	21	0.0026	0	0.5
G9	G50	9	21	3e-04	0	0.5
G10	G50	9	21	0.0018	0	0.5
G11	G50	9	21	8e-04	0	0.5
G12	G50	9	21	0.0035	0	0.5
G13	G50	9	21	0	0	0.5
G14	G50	9	21	8e-04	0	0.5
G15	G50	9	21	0.001	0	0.5
G16	G50	9	21	0	0	0.5
G17	G50	9	21	0	0	0.5
G18	G50	9	21	0	0	0.5
G19	G50	9	21	1e-04	0	0.5
G20	G50	9	21	0.0017	0	0.5
G21	G50	9	21	0	0	0.5
G22	G50	9	21	1e-04	0	0.5
G23	G50	9	21	0.0094	0	0.5
G24	G50	9	21	0.0012	0	0.5
G25	G50	9	21	0	0	0.5
G26	G50	9	21	1e-04	0	0.5
G27	G50	9	21	0.0011	0	0.5
G28	G50	9	21	3e-04	0	0.5
G29	G50	9	21	0.0016	0	0.5
G30	G50	9	21	0	0	0.5
G31	G50	9	21	2e-04	0	0.5
G32	G50	9	21	1e-04	0	0.5
G33	G50	9	21	0.0023	0	0.5
G34	G50	9	21	1e-04	0	0.5
G35	G50	9	21	3e-04	0	0.5
G36	G50	9	21	1e-04	0	0.5
G37	G50	9	21	0	0	0.5
G38	G50	9	21	4e-04	0	0.5
G39	G50	9	21	0	0	0.5
G40	G50	9	21	0.0015	0	0.5
G41	G50	9	21	0.005	0	0.5
G42	G50	9	21	0.0016	0	0.5
G43	G50	9	21	0.0019	0	0.5
G44	G50	9	21	0.0085	0	0.5
G45	G50	9	21	5e-04	0	0.5
G46	G50	9	21	3e-04	0	0.5
G47	G50	9	21	0	0	0.5
G48	G50	9	21	0	0	0.5
G49	G50	9	21	3e-04	0	0.5
G50	G50	9	21	0	0	0.5
