Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
G1	G4	2	5	0.0039	0	0.5
G2	G4	2	5	7e-04	0	0.5
G3	G4	2	5	0.001	0	0.5
G4	G4	2	5	1	0.70786	0.5
G5	G4	2	5	0.0013	0	0.5
G6	G4	2	5	0.0155	0	0.5
G7	G4	2	5	0.0019	0	0.5
G8	G4	2	5	0	0	0.5
G9	G4	2	5	0.102	0	0.5
G10	G4	2	5	0.0091	0	0.5
G11	G4	2	5	0.0022	0	0.5
G12	G4	2	5	0.0011	0	0.5
G13	G4	2	5	0.0024	0	0.5
G14	G4	2	5	0.0037	0	0.5
G15	G4	2	5	2e-04	0	0.5
G16	G4	2	5	7e-04	0	0.5
G17	G4	2	5	0.0044	0	0.5
G18	G4	2	5	0.0032	0	0.5
G19	G4	2	5	1e-04	0	0.5
G20	G4	2	5	0.0021	0	0.5
G21	G4	2	5	0.0016	0	0.5
G22	G4	2	5	0.0028	0	0.5
G23	G4	2	5	0.0011	0	0.5
G24	G4	2	5	0.0015	0	0.5
G25	G4	2	5	0.0023	0	0.5
G26	G4	2	5	7e-04	0	0.5
G27	G4	2	5	0	0	0.5
G28	G4	2	5	0.0027	0	0.5
G29	G4	2	5	0.004	0	0.5
G30	G4	2	5	7e-04	0	0.5
G31	G4	2	5	0.0016	0	0.5
G32	G4	2	5	0.0012	0	0.5
G33	G4	2	5	0.0014	0	0.5
G34	G4	2	5	7e-04	0	0.5
G35	G4	2	5	0.0037	0	0.5
G36	G4	2	5	0.0014	0	0.5
G37	G4	2	5	0.0055	0	0.5
G38	G4	2	5	0.0024	0	0.5
G39	G4	2	5	1e-04	0	0.5
G40	G4	2	5	0.0011	0	0.5
G41	G4	2	5	0.0011	0	0.5
G42	G4	2	5	0.003	0	0.5
G43	G4	2	5	5e-04	0	0.5
G44	G4	2	5	0	0	0.5
G45	G4	2	5	0.0039	0	0.5
G46	G4	2	5	0.0036	0	0.5
G47	G4	2	5	2e-04	0	0.5
G48	G4	2	5	7e-04	0	0.5
G49	G4	2	5	0.0036	0	0.5
G50	G4	2	5	0.0017	0	0.5
G1	G4	6	21	0.0021	0	0.5
G2	G4	6	21	0	0	0.5
G3	G4	6	21	4e-04	0	0.5
G4	G4	6	21	0.0154	0	0.5
G5	G4	6	21	0.001	0	0.5
G6	G4	6	21	0.0098	0	0.5
G7	G4	6	21	1	-0.24941	0.5
G8	G4	6	21	3e-04	0	0.5
G9	G4	6	21	0.0646	0	0.5
G10	G4	6	21	4e-04	0	0.5
G11	G4	6	21	2e-04	0	0.5
G12	G4	6	21	0.0027	0	0.5
G13	G4	6	21	0	0	0.5
G14	G4	6	21	7e-04	0	0.5
G15	G4	6	21	0.0019	0	0.5
G16	G4	6	21	9e-04	0	0.5
G17	G4	6	21	0.011	0	0.5
G18	G4	6	21	0	0	0.5
G19	G4	6	21	0.0035	0	0.5
G20	G4	6	21	8e-04	0	0.5
G21	G4	6	21	8e-04	0	0.5
G22	G4	6	21	0.0011	0	0.5
G23	G4	6	21	0.0189	0	0.5
G24	G4	6	21	6e-04	0	0.5
G25	G4	6	21	3e-04	0	0.5
G26	G4	6	21	7e-04	0	0.5
G27	G4	6	21	0	0	0.5
G28	G4	6	21	2e-04	0	0.5
G29	G4	6	21	1e-04	0	0.5
G30	G4	6	21	0.0026	0	0.5
G31	G4	6	21	0.002	0	0.5
G32	G4	6	21	0.0068	0	0.5
G33	G4	6	21	4e-04	0	0.5
G34	G4	6	21	5e-04	0	0.5
G35	G4	6	21	4e-04	0	0.5
G36	G4	6	21	7e-04	0	0.5
G37	G4	6	21	0.0019	0	0.5
G38	G4	6	21	0.0059	0	0.5
G39	G4	6	21	2e-04	0	0.5
G40	G4	6	21	0	0	0.5
G41	G4	6	21	3e-04	0	0.5
G42	G4	6	21	0.0018	0	0.5
G43	G4	6	21	0	0	0.5
G44	G4	6	21	0.0035	0	0.5
G45	G4	6	21	5e-04	0	0.5
G46	G4	6	21	0.0011	0	0.5
G47	G4	6	21	0.0019	0	0.5
G48	G4	6	21	0	0	0.5
G49	G4	6	21	0.0013	0	0.5
G50	G4	6	21	0	0	0.5
